*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20090101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
1   2009 174 2759000   7.5  21.7  1.66   4.1   0.0
1   2009 175 2727000  10.9  24.2  2.01   4.6   0.0
1   2009 176 2485000  13.3  26.5  2.32   3.9   0.0
1   2009 177 1831000  13.7  24.7  2.22   2.7   1.8
1   2009 178 1363000  16.1  25.4  2.45   1.6   0.0
1   2009 179 1269000  17.0  23.8  2.40   1.5   1.2
1   2009 180 2424000  15.9  26.7  2.53   2.1   0.0
1   2009 181 2765000  16.3  25.7  2.49   2.9   0.0
1   2009 182 2560000  15.8  26.4  2.50   3.0   0.0
1   2009 183 2246000  16.6  29.7  2.83   3.0   0.0
1   2009 184 2382000  17.7  28.9  2.86   3.5   0.0
1   2009 185 2573000  13.8  24.9  2.25   2.5   0.0
1   2009 186 2087000  12.3  27.7  2.34   2.2   0.0
1   2009 187 2070000  14.9  23.1  2.20   3.6   1.7
1   2009 188 1257000  13.3  18.5  1.81   4.4  19.2
1   2009 189 1543000  13.3  19.1  1.84   4.1   5.1
1   2009 190 1410000  12.6  18.1  1.74   3.6   0.0
1   2009 191 1121000  12.2  17.2  1.67   4.3   4.1
1   2009 192 2082000  11.1  20.2  1.78   2.6   0.0
1   2009 193  969000  14.6  21.5  2.07   3.4   6.5
1   2009 194 1981000  13.0  23.1  2.07   3.0   0.0
1   2009 195 2039000  12.0  25.3  2.15   1.7   0.0
1   2009 196 2353000  14.6  23.9  2.23   4.3   0.3
1   2009 197 2491000  13.3  25.1  2.22   2.9   0.0
1   2009 198 1968000  15.8  22.6  2.22   4.3   7.7
1   2009 199 1071000  14.3  19.6  1.93   4.8   4.1
1   2009 200 1625000  13.5  19.5  1.88   3.9   8.3
1   2009 201 1991000  13.1  20.9  1.94   4.4   1.5
1   2009 202 1819000  11.2  26.6  2.18   2.7   9.5
1   2009 203 1613000  15.5  24.4  2.33   2.7  12.0
1   2009 204  998000  15.0  21.0  2.06   2.2   4.3
1   2009 205 1479000  13.9  20.4  1.96   3.8   5.7
1   2009 206 2139000  11.4  20.6  1.82   3.5   0.0
1   2009 207 2156000  10.3  23.4  1.92   2.7   0.0
1   2009 208 1578000  13.9  24.9  2.25   3.0   0.5
1   2009 209 1695000  13.8  21.7  2.03   2.8   0.2
1   2009 210 1570000  13.9  25.1  2.27   2.5  11.7
1   2009 211 1868000  10.1  20.8  1.75   4.8   4.7
1   2009 212 2239000   9.1  21.4  1.73   1.8   0.0
1   2009 213 2112000  10.4  25.4  2.05   2.4   0.0
1   2009 214  870000   9.6  19.2  1.64   2.5   9.9
1   2009 215 2045000   9.0  22.4  1.78   1.8   0.0
1   2009 216 2533000   9.1  25.4  1.97   2.3   0.0
1   2009 217 2300000  12.1  27.1  2.28   2.2   0.0
1   2009 218 2392000  15.0  28.9  2.64   2.3   0.0
1   2009 219 1825000  15.5  28.3  2.63   2.9   0.0
1   2009 220 1493000  13.8  22.8  2.10   2.7   0.0
1   2009 221 1302000  11.1  22.0  1.88   2.0   0.0
1   2009 222 2003000  10.6  24.5  2.01   1.8   1.1
1   2009 223 1336000  15.1  22.4  2.16   3.0   5.1
1   2009 224  801000  14.4  19.7  1.94   2.8   4.9
1   2009 225 1656000  11.0  22.1  1.88   2.3   0.0
1   2009 226 1755000   8.8  22.3  1.77   1.8   0.0
1   2009 227 2272000  15.3  27.9  2.58   4.0   0.0
1   2009 228 1764000  13.0  23.7  2.11   3.3   0.0
1   2009 229 1449000  13.0  22.9  2.06   2.5   0.0
1   2009 230 1869000  12.9  25.0  2.19   2.0   0.0
1   2009 231 2095000  13.3  29.6  2.56   2.3   0.0
1   2009 232 1807000  16.3  33.8  3.18   4.2   1.4
1   2009 233 1583000  13.6  22.2  2.05   3.5   0.0
1   2009 234 1796000  10.1  22.1  1.83   2.1   0.0
1   2009 235 2129000   8.7  25.5  1.95   3.3   0.0
1   2009 236 1977000  15.1  27.3  2.52   3.3   0.0
1   2009 237  618000  10.7  21.1  1.81   2.3   2.0
1   2009 238 1688000  10.3  24.0  1.96   3.1   0.0
1   2009 239 1030000  15.1  23.4  2.23   2.8   0.0
1   2009 240 1546000  10.5  20.5  1.76   5.5  21.5
1   2009 241 1788000  11.3  18.8  1.71   4.0   1.0
1   2009 242  881000  12.6  18.7  1.78   3.0   0.0
1   2009 243 1642000  12.0  25.6  2.17   3.1   0.0
1   2009 244  688000  14.9  21.1  2.06   4.3   1.3
1   2009 245 1417000  13.5  21.2  1.98   4.2   0.9
1   2009 246  868000  13.1  18.3  1.78   7.0   6.7
1   2009 247 1162000  12.1  18.1  1.72   5.8  17.5
1   2009 248 1428000  13.1  18.3  1.78   4.3   1.3
1   2009 249  831000  10.5  18.1  1.63   2.8   0.0
1   2009 250 1660000  10.6  24.2  1.99   2.8   0.0
1   2009 251 1784000  11.1  27.6  2.25   2.2   0.0
1   2009 252  712000  14.1  19.0  1.88   3.3   0.0
1   2009 253 1476000  10.2  20.0  1.72   4.0   0.0
1   2009 254 1079000   7.1  18.2  1.46   3.3   0.0
1   2009 255 1384000   8.4  19.6  1.60   2.7   0.0
1   2009 256  825000   8.8  17.1  1.49   3.4   0.3
1   2009 257 1208000  12.1  19.1  1.77   4.6   0.0
1   2009 258  376000  13.5  16.6  1.71   4.0   3.2
1   2009 259 1049000  12.0  20.1  1.82   4.8   0.0
1   2009 260 1463000   8.6  18.0  1.53   3.4   0.0
1   2009 261 1627000   6.2  21.2  1.57   2.5   0.0
1   2009 262 1286000  10.2  24.9  2.01   1.4   0.0
1   2009 263  949000   8.8  20.9  1.69   2.3   0.0
1   2009 264 1302000   8.5  19.8  1.61   1.5   0.0
1   2009 265 1284000   9.0  20.8  1.69   3.7   0.0
1   2009 266 1006000  14.0  19.7  1.92   2.5   0.0
1   2009 267 1272000   6.6  19.5  1.50   1.8   0.0
1   2009 268  598000   4.9  17.6  1.33   1.4   0.0
1   2009 269 1319000   4.2  19.7  1.40   0.8   0.0
